treeId;latinName;latitude;longitude;datePlanted;notes;Origin;Rootstock;Variety
1;Juglans nigra;45.10576928;1.92748722;1569568893981;;Origin;Rootstock;Variety
2;Juglans nigra;45.1057701;1.92747367;1569568937366;;Origin;Rootstock;Variety
3;Juglans nigra;45.10575364;1.92748874;1569569236646;;Origin;Rootstock;Variety
4;Juglans nigra;45.10574668;1.92749456;1569569241845;;Origin;Rootstock;Variety
5;Juglans nigra;45.1057798;1.92751027;1569569253313;;Origin;Rootstock;Variety
6;Juglans nigra;45.10578328;1.92750684;1569569258544;;Origin;Rootstock;Variety
7;Juglans nigra;45.10575658;1.92751981;1569569308149;;Origin;Rootstock;Variety
8;Juglans nigra;45.1057344;1.92751757;1569569428360;;Origin;Rootstock;Variety
9;Juglans nigra;45.10575953;1.92752362;1569569458324;;Origin;Rootstock;Variety
10;Juglans nigra;45.10574179;1.92752108;1569569468998;;Origin;Rootstock;Variety
11;Juglans nigra;45.10575015;1.92750603;1569569498683;;Origin;Rootstock;Variety
12;Juglans nigra;45.10574857;1.9275118;1569569533750;;Origin;Rootstock;Variety
13;Juglans nigra;45.10579238;1.92746869;1569569642008;;Origin;Rootstock;Variety
14;Juglans nigra;45.10579064;1.92750769;1569569672592;collected from local tree,Argentat;Origin;Rootstock;Variety
15;Juglans nigra;45.10577967;1.92750289;1569569704794;collected from local tree,Argentat;Origin;Rootstock;Variety
16;Juglans nigra;45.10577315;1.92750612;1569569735344;collected from local tree,Argentat;Origin;Rootstock;Variety
17;Juglans nigra;45.1057619;1.92752359;1569569762160;collected from local tree,Argentat;Origin;Rootstock;Variety
18;Juglans nigra;45.10575894;1.9275322;1569569842576;collected from local tree,Argentat;Origin;Rootstock;Variety
19;Juglans nigra;45.10577374;1.92752015;1569569852425;collected from local tree,Argentat;Origin;Rootstock;Variety
20;Juglans nigra;45.10574856;1.92754143;1569569883695;collected from local tree,Argentat;Origin;Rootstock;Variety
21;Juglans nigra;45.10574797;1.92756153;1569569904916;collected from local tree,Argentat;Origin;Rootstock;Variety
22;Juglans nigra;45.10573922;1.92757711;1569569932146;collected from local tree,Argentat;Origin;Rootstock;Variety
23;Juglans nigra;45.10573984;1.92758446;1569569973361;collected from local tree,Argentat;Origin;Rootstock;Variety
24;Juglans nigra;45.10574783;1.9275891;1569570004010;collected from local tree,Argentat;Origin;Rootstock;Variety
25;Juglans nigra;45.10575789;1.92749974;1569570143060;collected from local tree,Argentat;Origin;Rootstock;Variety
26;Juglans nigra;45.10574689;1.92750849;1569570147692;collected from local tree,Argentat;Origin;Rootstock;Variety
27;Juglans nigra;45.10575453;1.92752161;1569570191627;collected from local tree,Argentat;Origin;Rootstock;Variety
28;Juglans nigra;45.10576389;1.92753456;1569570239043;collected from local tree,Argentat;Origin;Rootstock;Variety
29;Juglans nigra;45.10575431;1.92752914;1569570241760;collected from local tree,Argentat;Origin;Rootstock;Variety
30;Juglans nigra;45.10576143;1.92754289;1569570280460;collected from local tree,Argentat;Origin;Rootstock;Variety
31;Juglans nigra;45.10574936;1.92754561;1569570302975;collected from local tree,Argentat;Origin;Rootstock;Variety
32;Juglans nigra;45.10574363;1.92754532;1569570349676;collected from local tree,Argentat;Origin;Rootstock;Variety
33;Juglans nigra;45.10575424;1.92755475;1569570403485;collected from local tree,Argentat;Origin;Rootstock;Variety
34;Juglans nigra;45.1057422;1.92755448;1569570413462;collected from local tree,Argentat;Origin;Rootstock;Variety
35;Juglans nigra;45.10573294;1.92754849;1569570448240;collected from local tree,Argentat;Origin;Rootstock;Variety
36;Juglans nigra;45.10572707;1.92754482;1569570474125;collected from local tree,Argentat;Origin;Rootstock;Variety
37;Juglans nigra;45.10573457;1.92757943;1569570619477;collected from local tree,Argentat;Origin;Rootstock;Variety
38;Juglans nigra;45.10570885;1.92759831;1569570647971;collected from local tree,Argentat;Origin;Rootstock;Variety
39;Juglans nigra;45.10569388;1.92760075;1569570679507;collected from local tree,Argentat;Origin;Rootstock;Variety
40;Juglans nigra;45.10571461;1.92761867;1569570722840;collected from local tree,Argentat;Origin;Rootstock;Variety
41;Juglans nigra;45.10570125;1.92760081;1569570751490;collected from local tree,Argentat;Origin;Rootstock;Variety
42;Juglans nigra;45.10569967;1.92759555;1569570783143;collected from local tree,Argentat;Origin;Rootstock;Variety
43;Juglans nigra;45.10570697;1.92760868;1569570833413;collected from local tree,Argentat;Origin;Rootstock;Variety
44;Juglans nigra;45.10569668;1.92761939;1569570918689;collected from local tree,Argentat;Origin;Rootstock;Variety
45;Juglans nigra;45.10569042;1.92761159;1569570951111;collected from local tree,Argentat;Origin;Rootstock;Variety
46;Juglans nigra;45.1056992;1.92762869;1569570991042;collected from local tree,Argentat;Origin;Rootstock;Variety
47;Juglans nigra;45.10570956;1.92761128;1569571029588;collected from local tree,Argentat;Origin;Rootstock;Variety
48;Juglans nigra;45.10570136;1.92759345;1569571065792;collected from local tree,Argentat;Origin;Rootstock;Variety
49;Juglans nigra;45.10570757;1.92756904;1569571090175;collected from local tree,Argentat;Origin;Rootstock;Variety
50;Juglans nigra;45.10570194;1.9275415;1569571113493;collected from local tree,Argentat;Origin;Rootstock;Variety
51;Juglans nigra;45.10569302;1.92753904;1569571142507;collected from local tree,Argentat;Origin;Rootstock;Variety
52;Juglans nigra;45.10567866;1.9275352;1569571202943;collected from local tree,Argentat;Origin;Rootstock;Variety
53;Juglans nigra;45.10568518;1.92756802;1569571236125;collected from local tree,Argentat;Origin;Rootstock;Variety
55;Pyrus Betulaefolia;45.10511897;1.92975027;1569621600000;two metres high. September 20 drilled in grafts died.labelled;wild pear ready for grafting;own;Argentat special
56;Pinus Pinea;45.10509176937279;1.929636485874653;1569621600000;one foot high. sprouting after drought rescue, September 20. labelled;seed 20,propagated in Totnes;own;Variety
57;Pinus Pinea;45.10509631;1.92961921;1569672650479;one foot high;seed 20,propagated in Totnes;own;Variety
58;Pinus Pinea;45.10506141;1.9295993;1569621600000;one foot high labelled. brown at bottom but healthy buds growing in September. labelled;no vole guard,seed 20,propagated in Totnes;own;Variety
59;Pinus Pinea;45.10503450227528;1.9297021999955177;1569621600000;one foot high. 2 feet high. happy after drought rescue. September 20 labelled;,seed 20,propagated in Totnes;own;Variety
60;Pinus Pinea;45.10507037;1.92981432;1569621600000;four inches high. 15 inches high. 3 shoots. improving after drought rescue September 20 labelled.;no vole guard,seed 20,propagated in Totnes;own;Variety
61;Araucaria araucana;45.10219367;1.92793548;1569691762227;planted in Argentat October 2018;propagated in Totnes;own;Variety
62;Araucaria araucana;45.1030481;1.92893011;1569692034682;planted in Argentat October 2018;propagated in Totnes;own;Variety
63;Morus Nigra;45.09204396;1.93145934;1569836589810;;Origin;Rootstock;Variety
64;Ficus carica;45.09212575;1.93356261;1569836961059;fig,variety with very divided leaves,overhanging car park;Origin;Rootstock;Variety
65;Araucaria araucana;45.10360879;1.92743327;1570086448570;mostly brown after the drought summer 2019;Origin;Rootstock;Variety
66;Araucaria araucana;45.10344122;1.92720761;1570086542758;1/3 brown after the drought summer 2019;Origin;Rootstock;Variety
67;Araucaria araucana;45.1041881;1.92595951;1570087409517;1/4 brown after the drought summer 2019;Origin;Rootstock;Variety
68;Araucaria araucana;45.10344805;1.92905145;1570174040744;;Origin;Rootstock;Variety
69;Araucaria araucana;45.10326587;1.92908299;1570174148925;;Origin;Rootstock;Variety
70;Araucaria araucana;45.10271398;1.9288511;1570174377764;;Origin;Rootstock;Variety
71;Araucaria araucana;45.10271193;1.9288521;1570174382308;;Origin;Rootstock;Variety
72;Araucaria araucana;45.1023462;1.928637;1570174602360;;Origin;Rootstock;Variety
73;Araucaria araucana;45.10224357;1.92801517;1570174907207;;Origin;Rootstock;Variety
74;Araucaria araucana;45.10211224;1.92751543;1570175031905;;Origin;Rootstock;Variety
75;Pyrus Betulaefolia;45.10469716;1.92931084;1570357236508;;Origin;Rootstock;Variety
76;Pyrus Betulaefolia;45.10471424;1.92937935;1570357282247;;Origin;Rootstock;Variety
77;Pyrus Betulaefolia;45.10501032;1.9291034;1570357553541;;Origin;Rootstock;Variety
78;Corylus Avellana;45.10276897;1.93509501;1570364056245;very nice big nuts,overhanging a fence. take cuttings!;Origin;Rootstock;Variety
79;Juglans nigra;45.10571567;1.92763044;1570375231386;local tree;Argentat;Rootstock;Variety
80;Juglans nigra;45.10573833;1.92765865;1570375279694;local tree;Argentat;Rootstock;Variety
81;Juglans nigra;45.10571656;1.92763841;1570375329947;local tree;Argentat;Rootstock;Variety
