Abelia triflora; Indian Abelia; Height: 3.5m, growing at a medium rate. Hardiness: 5-9. Light: semi-shade or full sun. Water preference: dry - moist.; ; uncategorised; 5
Abies alba; Silver Fir; Height: 45m, growing fast. Hardiness: 5-8. Light: full shade or semi-shade or full sun. Water preference: moist.; Christmas Tree Fir, European Silver Fir, Silver; uncategorised; 5
Abies amabilis; Red Fir; Height: 30m, growing slowly. Hardiness: 4-8. Light: full shade or semi-shade or full sun. Water preference: moist.; Pacific silver fir; uncategorised; 4
Abies balsamea; Balsam Fir; Height: 15m, growing slowly. Hardiness: 3-6. Light: full shade or semi-shade or full sun. Water preference: moist.; ; Food forest; 3
Abies cephalonica; Grecian Fir; Height: 36m, growing at a medium rate. Hardiness: 4-8. Light: full shade or semi-shade or full sun. Water preference: moist.; ; uncategorised; 4
Abies concolor; Colorado Fir; Height: 45m, growing fast. Hardiness: 3-7. Light: full shade or semi-shade or full sun. Water preference: dry - moist.; White fir; uncategorised; 3
Abies delavayi; ; Height: 25m, growing slowly. Hardiness: 6-9. Light: full shade or semi-shade or full sun. Water preference: moist.; ; uncategorised; 6
Abies firma; Momi Fir; Height: 30m, growing at a medium rate. Hardiness: 6-9. Light: full shade or semi-shade or full sun. Water preference: moist.; Japanese Fir; uncategorised; 6
Abies fraseri; She Balsam; Height: 15m, growing fast. Hardiness: 4-7. Light: full shade or semi-shade or full sun. Water preference: moist.; Fraser fir, Southern Balsam Fir; uncategorised; 4
Abies grandis; Grand Fir; Height: 75m, growing fast. Hardiness: 5-6. Light: full shade or semi-shade or full sun. Water preference: moist.; Giant Fir, Lowland White Fir; uncategorised; 5
Abies homolepis; Nikko Fir; Height: 36m, growing at a medium rate. Hardiness: 4-7. Light: full shade or semi-shade or full sun. Water preference: moist.; ; uncategorised; 4
Abies lasiocarpa; Subalpine Fir; Height: 25m, growing slowly. Hardiness: 5-6. Light: full shade or semi-shade or full sun. Water preference: moist.; Alpine Fir; uncategorised; 5
Abies magnifica; Californian Red Fir; Height: 60m, growing at a medium rate. Hardiness: 4-8. Light: full shade or semi-shade or full sun. Water preference: moist.; Shasta red fir; uncategorised; 4
Abies mariesii; ; Height: 20m, growing slowly. Hardiness: 5-9. Light: full shade or semi-shade or full sun. Water preference: moist.; ; uncategorised; 5
Abies nordmanniana; Caucasian Fir; Height: 50m, growing at a medium rate. Hardiness: 4-6. Light: full shade or semi-shade or full sun. Water preference: moist.; Christmas Tree Fir, Nordmann; uncategorised; 4
Abies pindrow; West Himalayan Fir; Height: 30m, growing slowly. Hardiness: 5-7. Light: full shade or semi-shade or full sun. Water preference: moist.; ; uncategorised; 5
Abies procera; Noble Fir; Height: 60m, growing at a medium rate. Hardiness: 5-6. Light: full shade or semi-shade or full sun. Water preference: moist.; ; uncategorised; 5
Abies recurvata; ; Height: 35m, growing at a medium rate. Hardiness: 5-9. Light: full shade or semi-shade or full sun. Water preference: moist.; ; uncategorised; 5
Abies religiosa; Sacred Fir; Height: 40m, growing fast. Hardiness: 7-10. Light: full shade or semi-shade or full sun. Water preference: moist.; ; uncategorised; 7
Abies sachalinensis; Sakhalin Fir; Height: 30m, growing slowly. Hardiness: 3-6. Light: full shade or semi-shade or full sun. Water preference: moist.; ; uncategorised; 3
Abies spectabilis; Himalayan Fir; Height: 30m, growing slowly. Hardiness: 6-9. Light: full shade or semi-shade or full sun. Water preference: moist.; ; uncategorised; 6
Abies squamata; Flaky Fir; Height: 30m, growing slowly. Hardiness: 5-9. Light: full shade or semi-shade or full sun. Water preference: dry - moist.; ; uncategorised; 5
Abies veitchii; Veitch Fir; Height: 25m, growing fast. Hardiness: 3-7. Light: full shade or semi-shade or full sun. Water preference: moist.; Christmastree; uncategorised; 3
